question,answer,category,subcategory,setName,questionNumber,difficulty,setYear
Microbubbles are mainly used in drug delivery to treat diseases of this organ. A controversial February 2019 Nature Microbiology paper suggested that dysfunction of this organ is linked to depletion of species of Coprococcus. An aggressive tumor in this organ presents with a butterfly appearance and can be slowed using alternating electric field therapy. New treatments for diseases of this organ may focus on drugging the gut bacteria that form an axis with it. (*) Valproic acid and fluoxetine treat diseases of this organ such as one known to be correlated with high monoamine oxidase activity. A barrier layer of astrocytes makes this organ notoriously difficult to drug. For 10 points name this organ affected by glioblastomas and depression.,brain [accept corpus callosum; accept cerebrum; or cerebral cortex; do not accept or prompt on cortex],Science,Biology,2019 PACE NSC,12,5,2019
Bochdalek hernias that predominantly occur in this structure in newborns are a leading cause of pulmonary hypoplasia. The strength of this muscle is evaluated by comparing the upright vital capacity to the supine vital capacity. The phrenic nerve innervates this muscle which makes up the inferior side of a cavity outlined on two sides by the (*) intercostal muscles. This muscle has openings called hiatuses to allow blood vessels like the vena cava aorta and the esophagus to pass through it. Contraction of this muscle increases the size of the thoracic cavity creating a negative pressure that aerates the alveoli. Myoclonic jerks of this structure cause hiccuping. For 10 points name this abdominal muscle thats required for breathing.,thoracic diaphragm,Science,Biology,2019 PACE NSC,16,5,2019
The virial theorem can be used to show that the time-averaged kinetic and potential energies for these systems are equal. A crystal made entirely of these systems coupled together has infinite thermal conductivity and zero thermal expansion. Quantum systems of this type have constant energy level spacing and have wavefunctions given by a Gaussian term times a (*) Hermite (air-MEET) polynomial. Classical systems of this type are described by differential equations in which the second time derivative of the displacement is proportional to the displacement. If friction is present these systems can be categorized as underdamped overdamped or critically damped. For 10 points name these systems which experience a restoring force proportional to their displacement.,harmonic oscillators [prompt on oscillators; accept simple harmonic oscillators or damped harmonic oscillators or quantum harmonic oscillators],Science,Physics,2019 PACE NSC,11,5,2019
Kohlrausch names a device for measuring this quantity which can be classified as either TC or TD at 20 degrees Celsius. Devices from Rainin labelled P-2 P-20 P-200 and P-1000 are used to measure this quantity. This quantity is precisely measured by placing a black paper strip behind the thin glass neck of a namesake (*) flask that has a rounded base. Titration is equivalent to the analysis named for this quantity. Alcohol thermometers work because this quantity increases linearly with temperature in a liquid. This quantity should be measured from the bottom of the meniscus when reading it out on a burette. For 10 points name this quantity measured using pipettes or graduated cylinders.,liquid volume [prompt on liquid height or liquid level],Science,Chemistry,2019 PACE NSC,4,5,2019
This physicist is the first namesake of a method of selecting allowed states by requiring the line integral of position with respect to momentum to be an integer multiple of Plancks constant. A fundamental quantity named for this physicist equals the charge of the electron times h-bar divided by twice the mass of the electron. He debated Einstein at the Fifth Solvay Conference and co-names an early quantization rule with (*) Arnold Sommerfeld. The magnetic moment of the electron can be written in terms of his namesake magneton. He developed a model which accounted for the spectral lines of hydrogen but was unable to describe multi-electron atoms. For 10 points name this Danish physicist who proposed that electrons orbit the nucleus in circular paths.,Niels Bohr [or Niels Henrik David Bohr],Science,Physics,2019 PACE NSC,15,5,2019
The gene toy is the twin of a gene regulating this organs development and is a homolog of Pax6. Hall and Rosbash won a Nobel Prize in 2017 for finding cryptochrome receptors in this organ that activate neural clock genes during circadian rhythms. The first sex-linked mutation was found in this organ; shortly after Thomas Hunt Morgan also observed that small wings were linked to a mutation in this organs (*) white protein. Phenotypes like rosy vermillion and cinnabar are mutations to this organs normal red color. This organ is composed of tiny collections of neurons called ommatidia (ah-muh-TID-ee-uh) in Drosophila. For 10 points fruit flies contain both simple and compound types of what organs that contain photoreceptors?,fly eyes [or Drosophila melanogaster eyes],Science,Biology,2019 PACE NSC,20,5,2019
The so called plate trick is used to demonstrate one property of this quantity. QED explains why the g-factor correlated to this value is not exactly two. Coupling between this quantity and motion causes contributions to the fine structure. EPR spectroscopy observes transitions in which the sign of this quantity changes in the presence of a magnetic field. This value for a particle determines whether or not it is symmetric or asymmetric during (*) exchange which determines whether it follows Bose-Einstein or Fermi-Dirac statistics. Particles with non-integer values of this quantity must obey the Pauli exchange principle such as the electrons value of plus or minus 1/2 for this quantity. For 10 points name this intrinsic angular momentum of a particle.,spin [prompt on intrinsic angular momentum; do not accept or prompt on angular momentum],Science,Physics,2019 PACE NSC,4,5,2019
Cycloheximide chase experiments are used to measure this quantity for proteins in cells. Plotting the log of this quantity against atomic number over the square root of energy gives a straight line with positive slope. In pharmacokinetics drugs are typically deuterated or PEGylated to increase the terminal form of this quantity and therefore their bioavailability in the body. This quantity decreases over the course of a (*) zeroth-order reaction but stays constant if the order is one. The product of this quantity and a rate constant symbolized lambda equals the natural log of two. For bismuth-209 this quantity is thought to be over a billion times the age of the universe. For 10 points name this quantity the time required for 50% of a radioisotope to decay.,half-life [prompt on lifetime],Science,Chemistry,2019 PACE NSC,5,5,2019
Histidine biosynthesis begins from a tri·phosphorylated derivative of this compound. This compounds Fischer projection has its three epimeric carbons oriented with their hydroxyls on the right. Hydroxy·urea blocks the reduction of this sugar by an enzyme that unusually requires a radical mechanism. The pentose phosphate pathway is named for the fact that it makes a (*) phosphorylated derivative of this sugar. This sugar makes up the backbone of NADH and is found in its linear form bound to a flavin in Vitamin B2. This sugar is bonded to a nitrogenous base in nucleosides like uridine and guanosine and removing its 2 (two prime) carbons hydroxyl forms a deoxy- derivative. For 10 points name this core sugar found in RNA.,ribose [do not accept or prompt on deoxyribose],Science,Biology,2019 PACE NSC,17,5,2019
A 70 kilodalton bacterial housekeeping protein required for this process is coded for by rpoD (R-pod) and is contained in every one of this processs namesake holoenzymes. This process stalls at attenuator regions in intrinsic or rho-independent termination mechanisms due to hairpin formation. Start sites for this process are typically labelled with a negative number indicating how far upstream they are such as a pair of bacterial consensus sequences located at (*) -10 and -35 nucleotides upstream. In eukaryotes the products of this process are processed by the spliceosome to remove introns and are given a 5-prime cap and poly-A tail. For 10 points name this process that produces mRNA from a DNA template.,transcription [prompt on RNA synthesis or RNA polymerization],Science,Biology,2021 PACE NSC,8,5,2021
Oligomers given this property can lie in classes x y and z after formation by CID (C-I-D). The conjugation of cinnamic acid derivatives protects analytes from UV radiation in one technique for giving molecules this property. Surface tension produces a 49-degree angle as molecules with this property are spun from the tip of a Taylor cone. Techniques for imparting this property are denoted soft if they do not cause (*) fragmentation and include MALDI and ESI. The ratio of mass to this propertys magnitude determines the radius at which a particle orbits in a uniform magnetic field. Analytes with this property are distinguished by mass spectroscopy and are accelerated by electric fields. For 10 points name this property denoted z.,ionized [or ionization; accept positively negatively or multiply charged; accept non-zero charge number; accept mass-to-charge ratio after mass is read; prompt on fragmented before read; prompt on m/z or m-to-z ratio or z],Science,Chemistry,2021 PACE NSC,14,5,2021
This quantity experiences a drift due to the absorption and re-emission of thermal photons in the Yarkovsky effect. In the numerator of the formula for Keplerian orbits this quantity multiplies the quantity one minus eccentricity squared. The escape velocity can be calculated by taking the vis-viva equations limit as this quantity approaches infinity. This quantity is the only orbital element to have units of (*) length. The mean value of the periapsis and the apoapsis is this quantity. This quantity times the semi-latus rectum equals the square of a similar smaller quantity. The square of a bodys orbital period is proportional to the cube of this quantity by Keplers second law. For 10 points name this largest semidiameter of an elliptical orbit.,length of the semi-major axis [do NOT accept radius or diameter; do NOT prompt on partial answers],Science,Physics,2021 PACE NSC,5,5,2021
Adding this element across a double bond produces an anti-Markovnikov product due to its relative electropositivity and is typically followed by oxidation with hydrogen peroxide to form an alcohol. This element can form three-center two-electron bonds which generalizes into its ability to share electron pairs across deltahedral cluster compounds. This elements fluoride is (*) trigonal planar and acts as an effective Lewis base because it is electron-deficient a consequence of this elements low valency. This elements trihydride is almost always found dimerized as it only has 6 valence electrons violating the octet rule. For 10 points name this first p-block element a metalloid with atomic number 5.,boron [or B; prompt on hydroboration-oxidation],Science,Chemistry,2021 PACE NSC,5,5,2021
In one species performing this behavior can improve the success of ram feeding by taking on spacings equal to a copepods jump distance. Forage species are defined by their status as prey and their obligate performance of this behavior. Humpback whales teach their offspring to blow bubbles to trap animals displaying this behavior. Pelagic predators like swordfish often hunt animals performing this behavior by stunning (*) individuals. This behavior is a more coordinated form of shoaling. Individuals performing this behavior can coalesce into bait balls when approached by predators like sharks or dolphins to reduce their chance to be eaten. Lateral lines are used to maintain for 10 points what social behavior in fish which is often used to refer to groups of them?,schooling [or forming schools; prompt on shoaling or forming shoals before mentioned; prompt on aggregating grouping or word forms],Science,Biology,2021 PACE NSC,2,5,2021
Channels for transporting this substance are damaged in PSC which subsequently may cause steatorrhea (stee-AT-oh-REE-uh). Taurine and glycine conjugate many of the components of this substance. ALP and GGT are two enzymes that are elevated when the flow of this substance is obstructed. Release of the hormone CCK induces the sphincter of Oddi to relax to release this substance through the (*) cystic duct. The majority of this substances mass is composed of acids derived from the oxidation of cholesterol. Blockage of this substance leads to jaundice due to a buildup of bilirubin. This substance emulsifies lipids in the duodenum. For 10 points name this yellow-green fluid produced in the liver and stored in the gallbladder.,bile [or bile acids; or bile salts; accept gall before gallbladder is mentioned],Science,Biology,2021 PACE NSC,15,5,2021
A study of these people led by Thomas J. Bouchard made minor celebrities of men like the Chevy-driving Ohio police officer Jim Springer. Francis Galton who examined the rate of fertility in these people wrote an 1876 article proposing scientists study them. Peter B. Neubauers unethical studies on these people helped tarnish research on them until the Mistra study. Cyril Burt dubiously used studies of these people to conclude that IQ was 77.1 percent (*) inheritable. Thousands of Jewish prisoners who were also these type of people were given forced injections in experiments by Nazi scientist Josef Mengele. For 10 points name these research subjects who can be either monozygotic or dizygotic often studied because they share the same DNA.,identical twins [or fraternal twins; or triplets; or separated at birth twins; accept monozygotic or dizygotic twins; prompt on siblings or brothers or sisters],Science,Other Science,2021 PACE NSC,20,5,2021
Over 100 TB (terabytes) of data from this project were shipped to and from Google headquarters as a high-bandwidth alternative to its four entries in the Mikulski Archive. Amateurs can use the DRIZZLE method invented for this project which involves shifting and adding undersampled pixels. Ultra and eXtreme datasets were produced by this project after STS-61 added the (*) COSTAR assembly and allowed it to capture the Deep Field images. This project will eventually be replaced by the James Webb. The launch of this project was delayed by the Challenger disaster and it is the visual light component of NASAs Great Observatories. For 10 points name this ongoing astrophysics mission an orbital telescope named for the discoverer of the expanding universe.,the Hubble space telescope [accept the Hubble Deep Field Hubble Ultra Deep Field or Hubble eXtreme Deep Field; prompt on Deep Field HDF HUDF or HXDF before Deep Field is read],Science,Other Science,2021 PACE NSC,20,5,2021
An s–t cut can be uniquely defined by a single set of these objects because its two partitions are complements to each other. All of these objects but one are assigned an initial label of infinity in an overestimate that is improved by repeated relaxation steps during the Bellman–Ford algorithm. Determining how to reach all of these objects exactly once is the NP-complete Hamiltonian (*) cycle problem. Given a specific one of these objects the output of Dijkstras algorithm spans all of the other ones with minimal distance. The degree of these objects is highest in a complete graph where they are all adjacent. For 10 points name these elements of graphs that are connected by edges.,vertices [singular vertex; accept nodes],Science,Other Science,2021 PACE NSC,18,5,2021
The disruption of telegraph wires along the margins of this body of water led to the discovery of turbidity currents. This body of water contains both AABW and its namesake bottom water which are the two densest water masses and its boundary currents define the edges of the only sea to not border land. The French and Americans collaborated on a survey of the divergent boundary within this body of water which contains the (*) Sargasso Sea. The delay of mail delivery from Cornwall led Benjamin Franklin to chart a current within this body of water which is bisected by a namesake mid-ocean ridge. For 10 points name this ocean whose western boundary current is the Gulf Stream and which separates Europe and Africa from the Americas.,Atlantic Ocean [accept the North or South Atlantic or North Atlantic Bottom Water; anti-prompt on Sargasso Sea before mentioned; prompt on Gulf Stream before mentioned],Science,Other Science,2021 PACE NSC,14,5,2021
All analytes with sufficiently large values for this quantity appear in a single peak corresponding to the void volume in one technique. The solubility of a drug can be improved by increasing this quantity via PEGylation. The autocorrelation function of dynamically scattered light decays exponentially when this property of a material is the same for all of its subunits termed (*) monodispersity. Molecules with known values for this quantity serve as standard ladders in gel electrophoresis. This quantity can be directly determined for a globular protein using size-exclusion chromatography whose elution time is related to kilodaltons. For 10 points name this property of a compound equal to the total weight of all its atoms.,molecular weight [or molecular mass; or molar mass; prompt on particle size volume radius or surface area before size-exclusion chromatography is read; prompt on weight or mass],Science,Chemistry,2021 PACE NSC,17,5,2021
The technique of acoustic tomography can measure this variable over a wide area by placing probes within the SOFAR channel. The surface component of the Southern Oscillation is defined by localized increases in this variable due to reduced transport by the trade winds. This physical variable remains constant with depth in the mixed layer but plummets sharply at a namesake (*) cline. This variable increases off the coast of Peru during El Niño because of a reduction of upwelling. Changes in density due to this variable and salinity drive a namesake macroscale oceanic circulation system. Although it is high at the sea surface for 10 points what variable averages 2 degrees Celsius in the rest of the ocean?,temperature [accept sea-surface temperature or SST; accept thermocline; prompt on thermohaline circulation; prompt on density before Southern Oscillation is read],Science,Other Science,2021 PACE NSC,1,5,2021
In addiction module systems cells lacking specific examples of these structures tend to die due to a lack of antitoxin production. Iterons maintain the copy number of these structures which may be stringent or relaxed depending on that copy number. One of these structures that is commonly used as a cloning vector contains a single ori site and is named pBR322. Esther Lederberg discovered the first of these entities called the (*) fertility factor which enables horizontal gene transfer via conjugation. Antibiotic resistance genes are typically found on these mobile genetic elements. These structures are the primary source of extrachromosomal genetic material in bacteria. For 10 points name these circular bits of DNA.,plasmids,Science,Biology,2021 PACE NSC,1,5,2021
The extent of this region can be defined dynamically by calculating potential vorticity using the potential temperature. The maximum parcel level due to adiabatic expansion lies within this region because the lapse rate transitions from positive to negative at its upper boundary. This region is capped by a thermal inversion that forces incus formations to stay within and gain their characteristically flat shape. Rossby waves can disturb the path of the polar (*) jet stream formed in this region at the border between the polar and Ferrel circulation cells. The majority of the water in the atmosphere is found in this region and hence the majority of the weather. For 10 points name this region of the atmosphere that is the lowest to the ground.,troposphere [accept tropopause; prompt on atmosphere before read],Science,Other Science,2021 PACE NSC,12,5,2021
This operation plus the flow velocity dotted with the gradient defines an operation used to link Eulerian and Lagrangian perspectives. The continuity equation for continuum mechanics states that this operation applied to the density plus the divergence of the product of density and velocity all equals zero. This operation or higher orders of it appear on the left-hand side of differential equations describing (*) particle motion like the simple harmonic oscillator equation in which mass times this operation applied twice to x equals minus the spring constant times x. In more formal statements of Newtons second law this operation is applied to momentum. For 10 points acceleration is the product of applying what operation to velocity?,time derivative [accept partial time derivative; accept total time derivative; accept derivative with respect to time; prompt on derivative with with respect to what quantity?] (The first clue is the material derivative),Science,Physics,2021 PACE NSC,8,5,2021
Mutations in PMP22 impede maintenance of this substance and cause the majority of cases of type 1 Charcot-Marie-Tooth disease. Glatiramer acetate mimics the composition of a basic protein found in this substance. Production of this substance is impeded in shiverer mice which are used to study leukodystrophies. This substance is the namesake of a phosphocholine-containing sphingolipid. (*) Oligodendrocytes and Schwann cells produce and maintain this substance. Saltatory conduction occurs between areas without this substance called nodes of Ranvier. This electrically insulating substance is far more prevalent in the white matter of the CNS than in grey matter. For 10 points name this substance that forms a sheath around axons.,myelin,Science,Biology,2021 PACE NSC,17,5,2021
In the only decay mode used to identify the Higgs boson that doesnt involve the W or Z bosons the Higgs decays into two of these particles. The propagation of one of these particles forms virtual particle-antiparticle pairs which contribute to vacuum polarization. The formulae for cross sections of the scattering between these bosons and other particles often have a term containing the fine structure constant times h-bar over m-sub-e times c. If the energy of one of these particles exceeds (*) 1.022 MeV (M-E-V) it can cause pair production. An inelastic scattering process between these particles and electrons was discovered by Arthur Compton. QED describes how these gauge bosons carry the electromagnetic force. For 10 points name these quanta of light.,photons [prompt on gamma rays],Science,Physics,2021 PACE NSC,1,5,2021
Subsurface sampling of these objects uses pure copper devices to allow observers to distinguish them spectroscopically. Citizen scientists found seven particles from one of these objects in 2006 as part of an American sample-return mission the first to go beyond the Earths L1 point. The Stardust probe sampled compounds from the surface of these objects. En route to 67P/C–G (67-P-C-G) the Rosetta probe observed a second of these objects called (*) Tempel 1 as it was subjected to the equivalent of five tons of TNT by NASAs Deep Impact. Stellar wind can be inferred to exist by observing how material is pushed away from these objects. For 10 points name these icy objects whose bright coma and tail are visible as they periodically pass Earth.,comets,Science,Other Science,2021 PACE NSC,2,5,2021
The influence of this entity can be reduced by obtaining multiple lucky exposures of short duration and combining them in speckle-based techniques. Instruments can correct for low-order perturbations due to this entity using a segmented mirror that tips and tilts in response to incoming wavefront data in the primary application of adaptive optics. Predictions of this entitys (*) transparency are found alongside cloud cover forecasts in clear sky charts. This entity spreads out the image of objects during astronomical seeing and its impact is minimal at high elevation observatories like Mauna Kea. For 10 points the twinkling of stars is caused by what turbulent region separating ground-based telescopes from space?,Earths atmosphere [accept troposphere stratosphere or mesosphere; prompt on the sky until clear sky charts is read; prompt on air by asking where?],Science,Other Science,2021 PACE NSC,4,5,2021
Three-time Nobel Prize nominee Ida Noddack made several correct criticisms of one of this scientists major papers. This scientist coined a parameter called age to describe the distance a neutron migrates before becoming thermal. An interaction named for this physicist between an electron and an atomic nucleus is one of the two main contributors to hyperfine coupling. A group of boys led by this scientist that discovered slow neutrons included (*) antiproton discoverer Emilio Segrè. The first suggestion of the weak force was proposed in this scientists tentative model of beta decay. This man names a particle accelerator lab in Batavia Illinois. For 10 points name this Italian-American creator of Chicago Pile-1 which was the first nuclear reactor.,Enrico Fermi,Science,Physics,2021 PACE NSC,1,5,2021
Calculating the enthalpies and entropies of these systems can be simplified through the use of residual properties or departure functions. The temperatures of these systems will change when undergoing a Joule expansion. The acentric factor is one of various empirically determined constants found in cubic (*) equations of state for modeling these systems such as the Peng–Robinson or Redlich–Kwong equations. The compressibility factor characterizes these systems whose inherent intermolecular forces and particle volumes are accounted for by the a and b parameters of the van der Waals equation. Kinetic molecular theory fails to properly model for 10 points what types of gasses that do not perfectly satisfy PV equals nRT?,real gases [or non-ideal gases; or answers indicating gases that do not follow the ideal gas law; accept real fluids; prompt on gases; prompt on fluids; do not accept or prompt on ideal gases],Science,Physics,2021 PACE NSC,20,5,2021
Anions of these elements can be separated from their cations using amine-only cryptands or other nitrogen-based cage compounds. Electrides are formed from these elements and have a deep blue color from their solvated electrons. Individual examples of these elements can be selectively complexed by crown ethers. The strongly periodic trends of this (*) group of elements reverse in its final member which is only the second most electropositive. This group of elements is typically stored under mineral oil as they rapidly cleave water. Cations of this group of elements consistently form soluble salts and always have a charge of +1. For 10 points name this group of very reactive metallic elements which includes francium and lithium.,alkali metals [or Group 1 or Group 1A; accept alkalides; accept just 1 or 1A after group is read; do not accept or prompt on alkaline earth metals],Science,Chemistry,2021 PACE NSC,16,5,2021
This molecule forms bright blue compounds from phenols like salicylate (suh-LISS-ill-ate) in the presence of hypochlorite which also chlorinates this molecule in the first step of the Olin Raschig process. Tetraiodomercurate (tetra-iodo-mercu-rate) reacts with this molecule to produce a yellow color in colorimetric assays using Nesslers reagent. This is the lightest molecule to undergo a pyramidal inversion. Two units of this molecule are needed to form a single (*) hydrazine. Bleach reacts with this compound to produce the toxic chloramines that give pools their smell; on its own it has a strong and distinct smell. The synthesis of this weak base requires tremendous energy to break the triple bond of nitrogen gas. For 10 points name this molecule whose formula is NH3.,ammonia [accept NH3 before mentioned; do not accept or prompt on ammonium],Science,Chemistry,2021 PACE NSC,15,5,2021
In high-spin complexes this many electrons must be added before any are paired. All fac and mer isomers are metal complexes that coordinate this many centers. This is the maximum occupancy of the t2g (t-sub-2-g) set of orbitals. Distortions along the z-axis break the degeneracy of complexes with this many ligands in a canonical example of the Jahn-Teller effect. Hybridization involving two (*) d-orbitals allows transition metals to bind this many groups which can all be provided by a single molecule of EDTA. According to Hunds rule this many electrons must be added to d-orbitals before any pair up. Octahedral complexes bind this many ligands and this is the number of carbons in benzene. For 10 points give this number the atomic number of carbon.,six [or six-plus],Science,Chemistry,2021 PACE NSC,11,5,2021
This technique may assign an inversion time to a FLAIR sequence to null undesired fluid signals. Gradient echo sequences in this technique allow for very short repetition times. BOLD contrast is used in a form of this technique which can detect blood flow related changes. This technique may alter T1-relaxation times through the use of paramagnetic (*) gadolinium-based contrast agents. Shim coils are used in this imaging technique to maintain homogenous fields. Devices for this imaging technique usually maintain a field strength of at least 1.5 teslas. This technique generates images based on the presence of hydrogen atoms in water and fat. For 10 points name this imaging technique commonly used in medicine which is based on the principles of NMR.,MRI [accept fMRI; accept magnetic resonance imaging or functional magnetic resonance imaging; prompt on NMR before mentioned],Science,Physics,2021 PACE NSC,12,5,2021
Though not related to the circadian rhythm this stimulus causes action potentials in the pulvini found in Fabaceae which gives Mimosa pudica its name as a so-called sensitive organism. One organism is known to be able to count to 2 and 5 because 2 instances of this stimulus within 20 seconds will release an action potential; that organism is in the genus Dionaea. Tendrils grow in the direction of this stimulus while roots grow away from it in an example of negative (*) thigmotropism. Pacinian corpuscles and Merkel cells are mechanoreceptors (mechano-receptors) which detect this phenomenon. The detection of this stimulus by trigger hairs causes the closing of a Venus flytrap. For 10 points name this phenomenon whose detection allows vines to grow and climb around objects.,touch [accept physical contact; accept vibration; accept pressure; accept thigmonasty; accept thigmotropism before mentioned],Science,Biology,2021 PACE NSC,8,5,2021
Imidacloprid (uh-mid-uh-CLO-prid) is part of a class of insecticides named for resembling this compound that may cause colony collapse disorder. Regular exposure to this compound can exacerbate the symptoms of myasthenia gravis which typically targets a cation channel with no affinity for muscarine. Benzoate salts of this compound enter the blood more quickly than its freebase variety and are less prone to causing irritation. This compound acts as an agonist for a namesake type of (*) acetylcholine receptor which triggers release of dopamine into the ventral tegmentum. Replacement therapies can treat dependence to this compound using long-lasting patches or short-term consumption of gum. For 10 points name this tobacco alkaloid frequently consumed via cigarettes.,nicotine [or nicotine salts; accept neonicotinoids],Science,Biology,2021 PACE NSC,4,5,2021
This situation is created when the Zener voltage is reached and current flows to the gate of a thyristor in a crowbar system. The virtual ground assumption is a special case of a virtual one of these situations that occurs because an ideal op amp has infinite open-loop gain. This situations equivalent in the hydraulic analogy is the appearance of a (*) hole in a pipe. This situation occurs when an ammeter is connected in parallel instead of in series. Two nodes have no potential difference in this situation. Mismatched loads overloads and these situations are protected against using fuses and circuit breakers. Connecting the terminals of a battery will cause for 10 points what dangerous situation that occurs when an unintended connection is made in a circuit?,short circuit [accept word forms such as shorting; accept descriptions of the creation of a connection with no/low impedance/resistance; prompt on answers suggesting redirection of current; prompt on electrical fault; prompt on blowing a fuse tripping a circuit breaker current overload overheating or electrical fire with what situation in the circuit is causing that to happen?],Science,Physics,2021 PACE NSC,1,5,2021
This function of the input augments the output in the second case of the master theorem when a recurrence is neither leaf nor root dominated. For a trie (try) of size n this function of n describes the length of the stored strings. The time required to insert elements into a heap is proportional to this function of its size. Elements of balanced search trees can be located in time proportional to this function of their size. Divide-and-conquer algorithms like (*) binary search require time proportional to this function. There are at most this many steps of size n in mergesort and heapsort. This sub-linear function outputs the number of digits in a number. For 10 points name this inverse of exponentiation.,the logarithm of n [accept common logarithm or natural logarithm; accept logarithm base k where k is any natural number; accept big O of the logarithm of n; do not accept or prompt on n log n],Science,Other Science,2021 PACE NSC,3,5,2021
Description acceptable. Sriran Kosuri adapted the Octant platform for a high-throughput solution to this task. The companies Puritan and Copan provide nearly 100% of a key piece of wooden equipment for performing this task. An organization led by Robert Redfield initially blocked US institutions from creating their own methods for performing this task. An Israeli research team developed a way to perform this task in (*) one minute by using terahertz spectroscopy. Ellume now sells at-home kits for this task that have a lower sensitivity than ones based on PCR. The Defense Production Act helped keep up supplies of nasopharyngeal swabs needed for this task. For 10 points name this procedure that determines if people are infected with a certain pandemic virus.,coronavirus testing [accept descriptive answers involving both a testing process and coronavirus; accept COVID-19 or Sars-CoV-2 in place of coronavirus; prompt on partial answers; prompt on PCR testing or polymerase chain reaction reaction; prompt on virus testing; prompt on swabbing],Science,Other Science,2021 PACE NSC,21,5,2021
Though not created by Sun Microsoft reverse-engineered this languages interpreter to develop a competing language with a slightly different name. The standard for this language is named for the Ecma International organization. Transpilers like Babel output source code in this language which is often bundled and minified before use. A dollar sign with parentheses is used to select specific nodes in the DOM (dom) in this languages scripting library (*) jQuery. Native objects in this language print as [object Object] (object object) and can be represented using the JSON (J-sawn) format. This language was developed for Netscape Navigator to augment the use of HTML and CSS. Over 95 percent of all websites run for 10 points what scripting language which is named similarly to Java?,JavaScript [or JS; accept JScript; prompt on ECMAScript or ES; do not accept or prompt on Java],Science,Other Science,2021 PACE NSC,21,5,2021
Bonds between carbon and this element are described as agostic (uh-GOSS-tick) when they interact with a metal center. A moiety of only this element is the simplest one moved via a Wagner–Meerwein rearrangement. This element is soluble in many metals allowing it to be stored within their crystal lattices. A spongy catalyst with lots of surface area for this element to absorb onto is (*) Raney nickel. The formation of the diatomic gas of this element is defined to have a standard reduction potential of zero. This element can be added to both sides of a double or triple bond to reduce its order by one. There are 2n + 2 atoms of this element for every n atoms of carbon in an alkane. For 10 points name this lightest element the first on the periodic table.,hydrogen [or H; accept molecular hydrogen hydrogen gas H2 or H+; prompt on hydron],Science,Chemistry,2021 PACE NSC,13,5,2021
One form of this process begins after the cleavage of Gasdermin-D by the inflammasome. CARD domains contain a fold named for this process; that protein domain is found in a set of cysteine proteases which target proteins at aspartic acid residues. A form of this process that occurs when certain cells detach from the extracellular matrix is known as anoikis. Flippases cause exposure of (*) phosphatidylserine (foss-fuh-tie-dil-ser-een) in the outer cell membrane in the most common form of this process which may occur after the binding of the Fas ligand to its receptor and release of caspases. Tumor suppressor genes initiate this process in response to DNA damage. For 10 points autophagy and apoptosis are examples of what kind of cellular process?,programmed cell death [accept apoptosis or pyroptosis; prompt on lysis],Science,Biology,2021 PACE NSC,16,5,2021
This quantity for a given object is measured in units of power by a device that uses its moving mode to self-calibrate. The known values of the cesium standard and speed of light allow this quantitys unit to be defined by fixing the value of Plancks constant. Changes in this quantity due to a magnetic field were related to a materials susceptibility by Louis Gouy (lwee gwee). Bryan (*) Kibble designed a device for precisely measuring this quantity. One attempt to define this quantitys unit involved the creation of a perfect silicon ball which also allows the determination of Avogadros number. In 2019 this quantity was unpinned from the physical platinum-iridium cylinder previously used to define its unit. For 10 points name this quantity found with a balance and measured in kilograms.,mass [or weight; prompt on gravitational force; do not accept or prompt on gravity],Science,Physics,2021 PACE NSC,12,5,2021
This scientists graphical method has axes of volume entropy and energy and was among the first to use a surface to describe possible states. Though not the first to study them this scientist popularized the partition function and statistical ensembles. This infamously verbose scientist knew that indistinguishable particles would resolve his so-called paradox but no one could tell. This scientists landmark work On the Equilibrium of (*) Heterogeneous Substances introduced his namesake phase rule. At constant temperature and pressure change in chemical potential over a system equals change in this scientists namesake quantity. Reactions are spontaneous if they decrease—for 10 points—what American scientists namesake free energy?,Josiah Willard Gibbs [accept Gibbs paradox Gibbs phase rule or Gibbs free energy],Science,Chemistry,2021 PACE NSC,7,5,2021
The slowness of phosphorescence is due to a transition that is forbidden due to requiring a change in this quantity. This quantity names a tensor-like object that is inverted after a 360-degree rotation. A set of two-by-two Hermitian matrices describing this quantity combines with the identity to span all real Hermitian matrices. Systems can be para or ortho based on the orientation of this quantity which in a two-electron system can be (*) 0 or 1. Triplet and singlet states are named for the multiplicity of this quantity which is the fourth quantum number for an electron. This quantity determines whether a particle is a fermion or boson. For 10 points name this quantity which is effectively intrinsic angular momentum.,spin [do not accept or prompt on angular momentum],Science,Physics,2021 PACE NSC,2,5,2021
Inhibition of the FOXN1 gene results in a lack of these cells which can be seen in a strain of hairless lab mice. Cells called mTECs prevent harmful examples of these cells from developing. These cells are artificially programmed in CAR (car) therapy. Before maturing these cells are known as double-negative before they develop their receptors then become double-positive. Like NK cells a class of these cells contains granules of perforin and granzyme. These cells are classified by whether they express (*) CD4 or CD8. These MHC-recognizing cells develop from thymocytes and come in cytotoxic and helper varieties. For 10 points name this class of lymphocytes that help mediate adaptive immunity with B cells.,T cells [accept cytotoxic T cells or helper T cells or killer T cells; prompt on leukocytes or white blood cells],Science,Biology,2021 PACE NSC,5,5,2021
